market_slug,asset_id,market_id,event_type,price,side,size,hash,timestamp
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.99,ask,150,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.9,ask,25,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.54,ask,300,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.53,ask,450,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.51,ask,5623,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.5,ask,3623,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.49,ask,79487,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.48,ask,66053.33,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.47,ask,3482.49,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.01,bid,9.25,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.09,bid,17.3,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.1,bid,200,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.39,bid,300,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.4,bid,50,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.41,bid,3618,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.42,bid,3618,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.43,bid,81981,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,,book,0.44,bid,67971.67,7533e45364433cd2144c224985eba378ea5c0a42,1750356698446
