market_slug,asset_id,market_id,event_type,price,side,size,hash,timestamp
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,book,0.99,ask,135.71,c714b1b07894f4ab8c076eb735161d0ef24256ed,1750361006835
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,book,0.51,ask,14950.0,c714b1b07894f4ab8c076eb735161d0ef24256ed,1750361006835
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,book,0.49,ask,50.0,c714b1b07894f4ab8c076eb735161d0ef24256ed,1750361006835
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,book,0.48,ask,369.0,c714b1b07894f4ab8c076eb735161d0ef24256ed,1750361006835
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,book,0.44,ask,29933.28,c714b1b07894f4ab8c076eb735161d0ef24256ed,1750361006835
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,book,0.42,ask,7218.0,c714b1b07894f4ab8c076eb735161d0ef24256ed,1750361006835
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,book,0.41,ask,20772.05,c714b1b07894f4ab8c076eb735161d0ef24256ed,1750361006835
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,book,0.23,bid,21203.0,c714b1b07894f4ab8c076eb735161d0ef24256ed,1750361006835
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,book,0.27,bid,369.0,c714b1b07894f4ab8c076eb735161d0ef24256ed,1750361006835
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,book,0.29,bid,300.0,c714b1b07894f4ab8c076eb735161d0ef24256ed,1750361006835
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,book,0.3,bid,29747.0,c714b1b07894f4ab8c076eb735161d0ef24256ed,1750361006835
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,book,0.32,bid,28118.0,c714b1b07894f4ab8c076eb735161d0ef24256ed,1750361006835
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,book,0.33,bid,1308.03,c714b1b07894f4ab8c076eb735161d0ef24256ed,1750361006835
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,book,0.35,bid,3194.28,c714b1b07894f4ab8c076eb735161d0ef24256ed,1750361006835
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,book,0.36,bid,197.0,c714b1b07894f4ab8c076eb735161d0ef24256ed,1750361006835
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,book,0.37,bid,77.94,c714b1b07894f4ab8c076eb735161d0ef24256ed,1750361006835
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,book,0.77,ask,21203.0,c434192b3949cea3236649468ab182bb4a69b736,1750361006835
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,book,0.73,ask,369.0,c434192b3949cea3236649468ab182bb4a69b736,1750361006835
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,book,0.71,ask,300.0,c434192b3949cea3236649468ab182bb4a69b736,1750361006835
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,book,0.7,ask,29747.0,c434192b3949cea3236649468ab182bb4a69b736,1750361006835
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,book,0.68,ask,28118.0,c434192b3949cea3236649468ab182bb4a69b736,1750361006835
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,book,0.67,ask,1308.03,c434192b3949cea3236649468ab182bb4a69b736,1750361006835
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,book,0.65,ask,3194.28,c434192b3949cea3236649468ab182bb4a69b736,1750361006835
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,book,0.64,ask,197.0,c434192b3949cea3236649468ab182bb4a69b736,1750361006835
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,book,0.63,ask,77.94,c434192b3949cea3236649468ab182bb4a69b736,1750361006835
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,book,0.01,bid,135.71,c434192b3949cea3236649468ab182bb4a69b736,1750361006835
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,book,0.49,bid,14950.0,c434192b3949cea3236649468ab182bb4a69b736,1750361006835
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,book,0.51,bid,50.0,c434192b3949cea3236649468ab182bb4a69b736,1750361006835
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,book,0.52,bid,369.0,c434192b3949cea3236649468ab182bb4a69b736,1750361006835
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,book,0.56,bid,29933.28,c434192b3949cea3236649468ab182bb4a69b736,1750361006835
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,book,0.58,bid,7218.0,c434192b3949cea3236649468ab182bb4a69b736,1750361006835
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,book,0.59,bid,20772.05,c434192b3949cea3236649468ab182bb4a69b736,1750361006835
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,price_change,0.29,bid,0.0,7aa003a558a01c1784d5358ad7e4f52c3ac23a0b,1750361007554
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,price_change,0.71,ask,0.0,2f49ffce4776feb7ed5a8997caeae71ae0f3e815,1750361007554
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,price_change,0.88,ask,300.0,ee1bce1cc7a28559b5a376bb5065e6fc780a0521,1750361007950
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,price_change,0.68,ask,8118.0,ee1bce1cc7a28559b5a376bb5065e6fc780a0521,1750361007950
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,price_change,0.59,bid,772.05,ee1bce1cc7a28559b5a376bb5065e6fc780a0521,1750361007950
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,price_change,0.12,bid,300.0,fc50c2772b61ff5b4e8bd87e1c0024d8b6aeb1f6,1750361007950
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,price_change,0.32,bid,8118.0,fc50c2772b61ff5b4e8bd87e1c0024d8b6aeb1f6,1750361007950
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,price_change,0.41,ask,772.05,fc50c2772b61ff5b4e8bd87e1c0024d8b6aeb1f6,1750361007950
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,price_change,0.35,bid,4194.28,df2c95dfb16b4c611362c692ce0affe1640aa757,1750361008391
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,price_change,0.34,bid,1000.0,df2c95dfb16b4c611362c692ce0affe1640aa757,1750361008391
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,price_change,0.4,ask,500.0,df2c95dfb16b4c611362c692ce0affe1640aa757,1750361008391
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,price_change,0.65,ask,4194.28,afda0654a6a5d58f7be3674bc32d3e7e2cf99a74,1750361008391
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,price_change,0.66,ask,1000.0,afda0654a6a5d58f7be3674bc32d3e7e2cf99a74,1750361008391
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,price_change,0.6,bid,500.0,afda0654a6a5d58f7be3674bc32d3e7e2cf99a74,1750361008391
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,price_change,0.88,ask,0.0,b2397ca0a99a6be55fa02edac1b34b6d3434b5e8,1750361008421
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,price_change,0.61,bid,500.0,b2397ca0a99a6be55fa02edac1b34b6d3434b5e8,1750361008421
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,price_change,0.12,bid,0.0,9a7b62452af82fbf3cd125f89b02e51ce6a5977b,1750361008421
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,price_change,0.39,ask,500.0,9a7b62452af82fbf3cd125f89b02e51ce6a5977b,1750361008421
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,price_change,0.51,bid,0.0,5d44069f22e9f2d0e3acf76a49a31eefaf5c4cb5,1750361008712
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,price_change,0.49,ask,0.0,0108436736566b9c65ce6286a53222f90f71fb0a,1750361008712
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,price_change,0.72,ask,300.0,355a97c960a5e87b435d24f5227b6a79a0ab9b25,1750361008813
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,price_change,0.59,bid,750.0,355a97c960a5e87b435d24f5227b6a79a0ab9b25,1750361008813
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,price_change,0.28,bid,300.0,4bea58b6ccb98806ca1f9f2de44142e71cd5e837,1750361008813
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,price_change,0.41,ask,750.0,4bea58b6ccb98806ca1f9f2de44142e71cd5e837,1750361008813
mlb-col-wsh-2025-06-19,64562332832484912467366202509774712932453503401849335359195830654502363967608,553403,price_change,0.56,bid,25294.0,fc7639a38e53982026d8821b76355537d4a50b44,1750361009150
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,553403,price_change,0.44,ask,25294.0,6b215c49a28a1a381894b6697f7aef7e76058f38,1750361009150
