market_slug,asset_id,market_id,event_type,price,side,size,hash,timestamp
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,553407,book,0.99,ask,5141.0,b0331b732fd9fcb3131bc7290dbd147d2fd40b86,1750361007128
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,553407,book,0.98,ask,1280.0,b0331b732fd9fcb3131bc7290dbd147d2fd40b86,1750361007128
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,553407,book,0.97,ask,1609.0,b0331b732fd9fcb3131bc7290dbd147d2fd40b86,1750361007128
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,553407,book,0.96,ask,150.0,b0331b732fd9fcb3131bc7290dbd147d2fd40b86,1750361007128
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,553407,book,0.94,ask,364.0,b0331b732fd9fcb3131bc7290dbd147d2fd40b86,1750361007128
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,553407,book,0.92,ask,9.99,b0331b732fd9fcb3131bc7290dbd147d2fd40b86,1750361007128
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,553407,book,0.9,ask,369.0,b0331b732fd9fcb3131bc7290dbd147d2fd40b86,1750361007128
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,553407,book,0.88,ask,50.0,b0331b732fd9fcb3131bc7290dbd147d2fd40b86,1750361007128
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,553407,book,0.83,ask,15000.0,b0331b732fd9fcb3131bc7290dbd147d2fd40b86,1750361007128
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,553407,book,0.82,ask,37.07,b0331b732fd9fcb3131bc7290dbd147d2fd40b86,1750361007128
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,553407,book,0.01,bid,4745.0,b0331b732fd9fcb3131bc7290dbd147d2fd40b86,1750361007128
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,553407,book,0.02,bid,2280.0,b0331b732fd9fcb3131bc7290dbd147d2fd40b86,1750361007128
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,553407,book,0.03,bid,1034.0,b0331b732fd9fcb3131bc7290dbd147d2fd40b86,1750361007128
mlb-kc-tex-2025-06-19,41906708382519969878231999393462691668098416190632435910656353884865093346231,553407,book,0.04,bid,150.0,b0331b732fd9fcb3131bc7290dbd147d2fd40b86,1750361007128
