market_slug,asset_id,market_id,event_type,price,side,size,hash,timestamp
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.68,ask,26350,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.67,ask,456,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.66,ask,283,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.65,ask,5490.57,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.64,ask,28196,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.63,ask,85303,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.62,ask,111921.14,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.61,ask,549.1,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.02,bid,250,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.52,bid,22053,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.53,bid,900,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.54,bid,50,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.55,bid,5445.18,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.56,bid,24067,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.57,bid,7865.88,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.58,bid,83194.11,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.59,bid,91396.51,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,book,0.6,bid,3868.41,28786fdb012cd3058f6cb7529383cd41fb1f31eb,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.98,ask,250,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.48,ask,22053,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.47,ask,900,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.46,ask,50,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.45,ask,5445.18,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.44,ask,24067,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.43,ask,7865.88,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.42,ask,83194.11,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.41,ask,91396.51,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.4,ask,3868.41,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.32,bid,26350,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.33,bid,456,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.34,bid,283,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.35,bid,5490.57,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.36,bid,28196,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.37,bid,85303,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.38,bid,111921.14,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,book,0.39,bid,549.1,f05c8147e9b93481929324effbbc832585e90c67,1750803262054
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,price_change,0.57,bid,7885.88,66f4b183524e99011eb2005549eec3f200744b8a,1750803268223
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,price_change,0.43,ask,7885.88,c40ef81d25d37e974abc37c0a8f0345b436513d8,1750803268223
mlb-bos-laa-2025-06-24,11909881646241841603615995097053103187677110450106037389778928145662937117369,,price_change,0.62,ask,111941.14,9e43792ee221e1e0ecd484399f86aa2efb9e03b3,1750803268319
mlb-bos-laa-2025-06-24,5316508616091243828092856872458511193996592760292449404937264801809684589011,,price_change,0.38,bid,111941.14,5ee6db19abad68110580d718f7e951044b946a87,1750803268319
