market_slug,asset_id,market_id,event_type,price,side,size,hash,timestamp
mlb-lad-col-2025-06-24,83419632930286018393671803682353290215866400852091335693998968452055904593228,554910,book,0.98,ask,1072.77,c564664e6065899033ade608625a9405fd662248,1750803262051
mlb-lad-col-2025-06-24,83419632930286018393671803682353290215866400852091335693998968452055904593228,554910,book,0.95,ask,14.08,c564664e6065899033ade608625a9405fd662248,1750803262051
mlb-lad-col-2025-06-24,83419632930286018393671803682353290215866400852091335693998968452055904593228,554910,book,0.79,ask,33991.0,c564664e6065899033ade608625a9405fd662248,1750803262051
mlb-lad-col-2025-06-24,83419632930286018393671803682353290215866400852091335693998968452055904593228,554910,book,0.78,ask,50.0,c564664e6065899033ade608625a9405fd662248,1750803262051
mlb-lad-col-2025-06-24,83419632930286018393671803682353290215866400852091335693998968452055904593228,554910,book,0.76,ask,5427.0,c564664e6065899033ade608625a9405fd662248,1750803262051
mlb-lad-col-2025-06-24,83419632930286018393671803682353290215866400852091335693998968452055904593228,554910,book,0.75,ask,29838.0,c564664e6065899033ade608625a9405fd662248,1750803262051
mlb-lad-col-2025-06-24,83419632930286018393671803682353290215866400852091335693998968452055904593228,554910,book,0.74,ask,95652.0,c564664e6065899033ade608625a9405fd662248,1750803262051
mlb-lad-col-2025-06-24,83419632930286018393671803682353290215866400852091335693998968452055904593228,554910,book,0.73,ask,65792.4,c564664e6065899033ade608625a9405fd662248,1750803262051
mlb-lad-col-2025-06-24,83419632930286018393671803682353290215866400852091335693998968452055904593228,554910,book,0.72,ask,3027.06,c564664e6065899033ade608625a9405fd662248,1750803262051
mlb-lad-col-2025-06-24,83419632930286018393671803682353290215866400852091335693998968452055904593228,554910,book,0.71,ask,56167.28,c564664e6065899033ade608625a9405fd662248,1750803262051
mlb-lad-col-2025-06-24,83419632930286018393671803682353290215866400852091335693998968452055904593228,554910,book,0.02,bid,250.0,c564664e6065899033ade608625a9405fd662248,1750803262051
mlb-lad-col-2025-06-24,83419632930286018393671803682353290215866400852091335693998968452055904593228,554910,book,0.31,bid,2500.0,c564664e6065899033ade608625a9405fd662248,1750803262051
mlb-lad-col-2025-06-24,83419632930286018393671803682353290215866400852091335693998968452055904593228,554910,book,0.43,bid,5.0,c564664e6065899033ade608625a9405fd662248,1750803262051
