market_slug,market_id,asset_id,outcome_name,event_type,price,side,size,hash,timestamp
mlb-hou-col-2025-07-01,557551,85764074523526027794764732053587973577376287967647689018172159644726683654874,Astros,book,0.99,SELL,3554.04,3d759ca3a266281a6606e6b72c42cbdeed5f893b,1751420715321
mlb-hou-col-2025-07-01,557551,85764074523526027794764732053587973577376287967647689018172159644726683654874,Astros,book,0.98,SELL,650.0,3d759ca3a266281a6606e6b72c42cbdeed5f893b,1751420715321
mlb-hou-col-2025-07-01,557551,85764074523526027794764732053587973577376287967647689018172159644726683654874,Astros,book,0.97,SELL,795.0,3d759ca3a266281a6606e6b72c42cbdeed5f893b,1751420715321
mlb-hou-col-2025-07-01,557551,85764074523526027794764732053587973577376287967647689018172159644726683654874,Astros,book,0.95,SELL,158.0,3d759ca3a266281a6606e6b72c42cbdeed5f893b,1751420715321
mlb-hou-col-2025-07-01,557551,85764074523526027794764732053587973577376287967647689018172159644726683654874,Astros,book,0.94,SELL,180.23,3d759ca3a266281a6606e6b72c42cbdeed5f893b,1751420715321
mlb-hou-col-2025-07-01,557551,85764074523526027794764732053587973577376287967647689018172159644726683654874,Astros,book,0.92,SELL,122.0,3d759ca3a266281a6606e6b72c42cbdeed5f893b,1751420715321
mlb-hou-col-2025-07-01,557551,85764074523526027794764732053587973577376287967647689018172159644726683654874,Astros,book,0.91,SELL,29000.0,3d759ca3a266281a6606e6b72c42cbdeed5f893b,1751420715321
mlb-hou-col-2025-07-01,557551,85764074523526027794764732053587973577376287967647689018172159644726683654874,Astros,book,0.9,SELL,82.0,3d759ca3a266281a6606e6b72c42cbdeed5f893b,1751420715321
mlb-hou-col-2025-07-01,557551,85764074523526027794764732053587973577376287967647689018172159644726683654874,Astros,book,0.89,SELL,18554.41,3d759ca3a266281a6606e6b72c42cbdeed5f893b,1751420715321
mlb-hou-col-2025-07-01,557551,85764074523526027794764732053587973577376287967647689018172159644726683654874,Astros,book,0.88,SELL,2626.09,3d759ca3a266281a6606e6b72c42cbdeed5f893b,1751420715321
mlb-hou-col-2025-07-01,557551,85764074523526027794764732053587973577376287967647689018172159644726683654874,Astros,book,0.01,BUY,3460.28,3d759ca3a266281a6606e6b72c42cbdeed5f893b,1751420715321
